iter	Passed	Remaining
0	1	167
1	3	157
2	4	142
3	5	131
4	6	118
5	7	109
6	7	103
7	8	98
8	9	97
9	10	94
10	11	90
11	11	86
12	12	85
13	13	83
14	14	80
15	14	78
16	15	76
17	16	75
18	17	75
19	18	72
20	18	71
21	19	70
22	20	68
23	21	66
24	21	65
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	26	56
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	32	47
41	33	45
42	33	44
43	34	43
44	35	42
45	35	41
46	36	40
47	36	40
48	37	39
49	38	38
50	39	37
51	39	36
52	40	35
53	41	35
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	47	26
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	62	10
86	63	9
87	64	8
88	65	8
89	65	7
90	66	6
91	67	5
92	68	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	71	0
99	72	0
