iter	Passed	Remaining
0	290	290221
1	291	145493
2	292	97212
3	294	73260
4	294	58695
5	295	48987
6	296	42052
7	297	36864
8	298	32850
9	299	29661
10	301	27076
11	302	24882
12	304	23122
13	305	21514
14	306	20102
15	306	18869
16	307	17777
17	308	16807
18	308	15938
19	309	15167
20	310	14460
21	310	13820
22	311	13240
23	312	12705
24	313	12232
25	316	11856
26	318	11480
27	319	11089
28	320	10733
29	321	10390
30	322	10070
31	322	9768
32	323	9484
33	324	9213
34	325	8969
35	326	8733
36	327	8513
37	328	8313
38	329	8117
39	330	7932
40	332	7775
41	333	7617
42	334	7450
43	335	7289
44	336	7135
45	339	7031
46	339	6892
47	340	6760
48	341	6634
49	343	6523
50	344	6415
51	345	6306
52	347	6205
53	348	6102
54	349	5999
55	349	5899
56	350	5801
57	351	5707
58	352	5619
59	363	5691
60	364	5604
61	364	5522
62	365	5441
63	366	5363
64	367	5284
65	372	5277
66	376	5238
67	377	5178
68	378	5108
69	379	5040
70	380	4974
71	382	4929
72	385	4891
73	386	4835
74	388	4795
75	390	4745
76	392	4699
77	392	4644
78	393	4589
79	394	4536
80	395	4487
81	399	4470
82	400	4421
83	402	4388
84	404	4355
85	405	4313
86	406	4269
87	407	4224
88	423	4336
89	424	4294
90	425	4253
91	427	4218
92	429	4189
93	430	4151
94	432	4115
95	433	4081
96	435	4053
97	436	4018
98	437	3984
99	438	3947
100	439	3911
101	440	3874
102	445	3879
103	446	3847
104	448	3819
105	450	3797
106	451	3766
107	452	3734
108	452	3702
109	460	3722
110	464	3723
111	466	3702
112	467	3673
113	468	3643
114	470	3621
115	477	3638
116	478	3614
117	479	3587
118	480	3559
119	481	3530
120	483	3511
121	491	3538
122	492	3514
123	494	3491
124	495	3466
125	499	3461
126	508	3493
127	509	3473
128	518	3501
129	520	3486
130	521	3461
131	522	3437
132	524	3418
133	536	3465
134	537	3445
135	539	3426
136	553	3485
137	554	3466
138	567	3514
139	568	3492
140	581	3543
141	582	3520
142	583	3498
143	584	3475
144	585	3452
145	586	3429
146	587	3406
147	587	3384
148	603	3445
149	604	3424
150	621	3491
151	702	3917
152	717	3970
153	718	3945
154	729	3978
155	731	3954
156	731	3929
157	732	3904
158	733	3879
159	734	3855
160	734	3828
161	735	3806
162	736	3782
163	770	3925
164	771	3901
165	771	3877
166	773	3855
167	773	3832
168	774	3809
169	775	3787
170	776	3765
171	777	3743
172	778	3721
173	779	3699
174	780	3678
175	852	3990
176	856	3982
177	858	3964
178	859	3944
179	861	3922
180	861	3900
181	862	3878
182	863	3856
183	871	3866
184	873	3850
185	875	3833
186	876	3812
187	877	3791
188	878	3770
189	879	3751
190	880	3731
191	881	3711
192	885	3701
193	887	3686
194	888	3667
195	889	3648
196	890	3630
197	891	3611
198	892	3592
199	906	3626
200	908	3609
201	909	3591
202	910	3574
203	919	3587
204	920	3571
205	921	3552
206	922	3534
207	923	3516
208	924	3499
209	925	3481
210	926	3464
211	927	3446
212	928	3429
213	934	3430
214	935	3414
215	936	3398
216	937	3384
217	939	3369
218	940	3353
219	941	3337
220	942	3320
221	943	3305
222	945	3294
223	946	3279
224	947	3264
225	948	3249
226	980	3339
227	981	3324
228	982	3309
229	984	3294
230	985	3279
231	986	3266
232	988	3254
233	991	3246
234	993	3233
235	994	3218
236	995	3205
237	1005	3219
238	1007	3209
239	1008	3194
240	1010	3183
241	1012	3170
242	1017	3170
243	1019	3157
244	1020	3143
245	1022	3134
246	1024	3123
247	1025	3109
248	1026	3095
249	1027	3081
250	1053	3143
251	1057	3137
252	1058	3125
253	1059	3111
254	1061	3101
255	1065	3096
256	1066	3083
257	1067	3070
258	1070	3063
259	1072	3052
260	1074	3043
261	1080	3042
262	1084	3038
263	1085	3026
264	1086	3014
265	1087	3001
266	1089	2991
267	1096	2995
268	1097	2983
269	1121	3032
270	1122	3019
271	1123	3006
272	1128	3006
273	1129	2993
274	1132	2984
275	1133	2972
276	1134	2959
277	1142	2966
278	1143	2954
279	1146	2948
280	1147	2936
281	1149	2925
282	1159	2938
283	1160	2926
284	1162	2915
285	1163	2904
286	1164	2893
287	1172	2899
288	1177	2895
289	1178	2884
290	1178	2872
291	1179	2860
292	1180	2849
293	1187	2851
294	1188	2841
295	1189	2830
296	1190	2818
297	1191	2807
298	1192	2796
299	1194	2786
300	1195	2775
301	1196	2764
302	1201	2764
303	1203	2754
304	1204	2744
305	1207	2738
306	1208	2728
307	1210	2719
308	1215	2717
309	1216	2708
310	1217	2697
311	1219	2689
312	1221	2680
313	1222	2671
314	1223	2661
315	1224	2651
316	1226	2642
317	1227	2633
318	1229	2623
319	1230	2614
320	1231	2605
321	1239	2610
322	1269	2661
323	1271	2652
324	1272	2643
325	1274	2634
326	1279	2632
327	1281	2624
328	1286	2624
329	1289	2617
330	1306	2641
331	1309	2634
332	1316	2637
333	1330	2653
334	1332	2644
335	1333	2635
336	1334	2625
